Id,Title,Year,Venue,Author,Community of Focus - Blind and/or Visual Impaired,Community of Focus - d/Deaf or hard of hearing,Community of Focus - Motor/physical impairment,Community of Focus - Neurodivergent people (NDV),Community of Focus - Intellectual and developmental disabilities,Community of Focus - General disability,Community of Focus - Other,Role on the development team - Programmer,Role on the development team - Tester,Role on the development team - Manager or Facilitator,Role on the development team - Product Specialist,Role on the development team - - Designer,Role on the development team - Not Specified,Role on the development team - Other
A560,Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia,2020,International Conference on Evaluation and Assessment in Software Engineering (EASE),Ian McChesney and Raymond Bond,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
A577,Understanding the challenges faced by neurodiverse software engineering employees: Towards a more inclusive and productive technical workforce,2015,ACM SIGACCESS Conference on Computers (ASSETS),Meredith Ringel Morris; Andrew Begel; Ben Wiedermann,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes
A579,Visual Management and Blind Software Developers,2015,Agile Conference,Avelino Ferreira Gomes Filho; Rodrigo De Toledo,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
A61,Accessibility of Command Line Interfaces,2021,Conference on Human Factors in Computing Systems (CHI),"Harini Sampath, Alice Merrick, Andrew Macvean",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
A64,Accessibility of High-Fidelity Prototyping Tools,2021,Conference on Human Factors in Computing Systems (CHI),"Junchen Li, Garreth W. Tigwell, and Kristen Shinohara",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
A65,Accessibility of UI Frameworks and Libraries for Programmers with Visual Impairments,2022,IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),Maulishree Pandey; Sharvari Bondre; Sile O’Modhrain; Steve Oney,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
A74,Accessible AST-Based Programming for Visually-Impaired Programmers,2019,Computer Science Education (SIGCSE),"Emmanuel Schanzer, Sina Bahram, and Shriram Krishnamurthi.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
A76,Accessible Blockly: An Accessible Block-Based Programming Library for People with Visual Impairments,2022,ACM SIGACCESS Conference on Computers (ASSETS),"Aboubakar Mountapmbeme, Obianuju Okafor, and Stephanie Ludi.",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
A79,Accessible Web Development: Opportunities to Improve the Education and Practice of web Development with a Screen Reader,2021,ACM Transactions on Accessible Computing (TACCESS),"Claire Kearney-Volpe, Amy Hurst",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
A8,A comparison of program comprehension strategies by blind and sighted programmers,2018,IEEE Transactions on Software Engineering,"Ameer Armaly, Paige Rodeghero, Collin McMillan",Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No
A87,Addressing Accessibility Barriers in Programming for People with Visual Impairments: A Literature Review,2022,ACM Transactions on Accessible Computing (TACCESS),"Aboubakar Mountapmbeme, Obianuju Okafor, Stephanie Ludi",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
